Data,Open,High,Low,Close,Volume,OI
2015-08-03 00:00:00,6.72,6.76,6.57,6.61,350626,1999
2015-08-04 00:00:00,6.65,6.80,6.61,6.68,128442,1160
2015-08-05 00:00:00,6.72,7.13,6.68,7.13,378456,2236
2015-08-06 00:00:00,7.17,7.21,6.80,7.06,111398,956
2015-08-07 00:00:00,7.02,7.02,6.65,6.80,208336,1310
2015-08-10 00:00:00,6.83,6.91,6.61,6.68,95207,1158
2015-08-11 00:00:00,6.65,6.68,6.35,6.65,252703,1529
2015-08-12 00:00:00,6.61,6.61,6.05,6.23,387271,1551
2015-08-13 00:00:00,6.68,6.76,6.42,6.57,565300,1182
2015-08-14 00:00:00,6.57,6.72,6.42,6.65,99947,785
2015-08-17 00:00:00,6.68,6.76,6.53,6.61,42503,456
2015-08-18 00:00:00,6.61,6.76,6.27,6.61,360560,1955
2015-08-19 00:00:00,6.53,6.53,6.27,6.35,245060,1247
2015-08-20 00:00:00,6.31,6.35,6.05,6.20,329135,2721
2015-08-21 00:00:00,6.12,6.23,5.97,6.08,363170,2595
2015-08-24 00:00:00,5.26,6.20,5.18,6.05,204714,735
2015-08-25 00:00:00,6.08,6.16,5.67,5.67,215393,1118
2015-08-26 00:00:00,5.71,6.08,5.59,6.08,485354,1482
2015-08-27 00:00:00,6.08,6.27,5.97,6.27,94860,679
2015-08-28 00:00:00,6.27,6.53,6.05,6.53,187723,1676
2015-08-31 00:00:00,6.46,6.46,6.23,6.38,196032,3282
2015-09-01 00:00:00,6.05,6.23,5.93,5.93,227803,1955
2015-09-02 00:00:00,5.97,6.20,5.86,6.08,130093,850
2015-09-03 00:00:00,6.08,6.20,5.90,6.08,287564,3579
2015-09-04 00:00:00,6.08,6.08,5.71,5.93,238962,989
2015-09-08 00:00:00,5.97,6.01,5.75,5.97,44155,293
2015-09-09 00:00:00,6.01,6.12,5.67,5.67,262184,969
2015-09-10 00:00:00,5.56,5.82,5.52,5.59,157177,767
2015-09-11 00:00:00,5.63,5.78,5.52,5.78,124208,553
2015-09-14 00:00:00,5.82,6.01,5.63,6.01,101332,450
2015-09-15 00:00:00,5.93,5.97,5.75,5.90,112730,493
2015-09-16 00:00:00,5.90,6.46,5.86,6.31,240826,1108
2015-09-17 00:00:00,6.27,6.31,6.01,6.08,137843,1174
2015-09-18 00:00:00,6.05,6.12,5.78,5.90,232730,1202
2015-09-21 00:00:00,5.86,6.01,5.41,5.41,161625,831
2015-09-22 00:00:00,5.41,5.41,4.92,5.26,388549,1159
2015-09-23 00:00:00,5.22,5.26,4.92,4.99,111691,649
2015-09-24 00:00:00,4.96,4.96,4.47,4.47,810254,1636
2015-09-25 00:00:00,4.51,4.58,4.06,4.43,496912,1439
2015-09-28 00:00:00,4.24,4.39,4.06,4.17,431985,3538
2015-09-29 00:00:00,4.17,4.28,3.94,4.24,859442,2170
2015-09-30 00:00:00,4.32,4.39,4.06,4.36,515181,1174
2015-10-01 00:00:00,4.32,4.47,4.21,4.32,250253,755
2015-10-02 00:00:00,4.32,4.54,4.17,4.51,291798,921
2015-10-05 00:00:00,4.54,4.66,4.39,4.62,207723,1084
2015-10-06 00:00:00,4.54,4.62,4.36,4.54,474515,1164
